2542,55.5
2546,40.5
2548,6.5
2554,11
2557,62
2561,0
2563,27.5
2564,11.5
2566,40
2569,3
2574,44.5
2577,10
2578,0
2580,41
2582,6
2592,42.5
2596,24.5
2597,0
2601,7
2602,0
2605,8
2606,24
2610,8
2616,2
2618,31
2622,14
2632,11.5
2634,39
2637,7.5
2639,0
2640,-1
2644,11
2646,49
2647,4.5
2648,7
2655,8
2658,0
2663,22
2665,8
2669,33
2675,8
2688,0
2689,0
2692,40
2694,24
2696,3
2705,0
2706,4
2707,0
2709,8
2710,163.5
2713,59
2714,0
2715,40
2716,1.5
2719,46.5
2720,182
2728,84
2730,11
2732,40
2733,7.5
2742,45
2743,7
2747,-5
2748,0
2749,16
2750,0
2757,3.5
2758,19
2762,49
2764,20
2766,26
2768,29
2769,32.5
2771,162.5
2773,8
2777,8
2780,66
2781,19.5
2782,21
2786,31
2787,3
2792,3
2803,3.5
2807,40
2808,21.5
2812,0
2814,4
2830,0
2837,8
2838,-5.5
2844,37.5
2846,11
2847,41
2848,36.5
2853,8
2854,-1
2855,23
2856,55.5
2857,4
2858,119
2860,92.5
2861,0
2866,0
2870,0
2872,0
2876,0
2880,0
2881,126.5
2885,1
2888,41
2890,6
2892,65
2897,40
2901,30
2903,0
2904,0
2907,43
2908,21
2910,38.5
2912,0
2915,0
2918,40.5
2919,1
2923,0
2924,72
2929,45
2933,18
2934,4
2935,0
2936,68
2941,86
2942,5
2946,40
2947,11.5
2948,8
2951,96
2960,48
2965,15.5
2968,26
2977,0
2978,6
2979,28
2980,6
2982,40
2988,70
2994,168.5
3004,8.5
3013,0
3017,21.5
3018,43
3020,29.5
3026,112
3029,7.5
3030,3
3032,8
3034,40
3036,142.5
3039,3
3041,45
3045,0
3047,32.5
3048,10
3050,0
3052,44
3054,101
3055,17
3056,5.5
3060,100.5
3062,1
3063,1
3070,45
3071,61
3072,7
3074,45
3075,0
3077,0
3079,171.5
3080,42.5
3081,0
3086,6
3087,81.5
3088,46.5
3089,1
3098,3
3101,84
3102,44
3103,17
3107,18
3110,0
3111,4.5
3113,15
3117,46.5
3118,28.5
3120,4
3121,12.5
3122,29
3124,0
3126,4.5
3127,5
3129,0
3130,27.5
3132,7
3133,6
3135,0
3138,1
3139,4
3141,41.5
3144,-3.5
3158,3.5
3159,45.5
3160,-4
3163,-4
3164,39.5
3167,62.5
3168,0
3173,0
3175,6
3177,152.5
3180,5
3181,4
3184,70
3185,0
3186,75
3187,7
3188,0
3190,40.5
3194,175.5
3197,11.5
3199,-3
3204,4
3206,0
3207,41.5
3208,101.5
3211,15
3214,3
3217,42
3218,8
3223,0
3225,0
3227,11.5
3228,62.5
3231,1
3234,0
3235,42
3238,60
3240,102.5
3246,0
3248,47.5
3250,0
3251,43
3252,82
3253,11
3254,83
3255,27.5
3257,2
3258,20.5
3259,0
3261,0
3265,22.5
3268,0
3269,0
3277,9
3278,0
3286,12.5
3288,1
3289,0
3290,1
3291,12.5
3292,7.5
3296,40.5
3299,0
3301,74
3302,1
3303,40
3306,0
3307,0
3310,46.5
3314,40
3315,28
3316,8
3318,16.5
3325,0
3328,48.5
3334,5
3335,43.5
3336,25.5
3339,0
3340,0
3341,0
3342,57.5
3347,7.5
3350,3
3351,45.5
3353,1
3354,0
3356,0
3360,41
3366,3.5
3369,45
3372,2
3373,-12.5
3376,70
3378,64
3379,63
3380,42
3382,0
3383,112
3385,14
3387,8.5
3388,28.5
3389,110
3394,0
3395,0
3399,27
3400,0
3402,0
3404,62.5
3406,28.5
3410,0
3411,45.5
3412,5.5
